System,Teff,M_A,R_A,Period,aAU,M_b,R_b,Teq
55_Cnc_e,5172,0.873,0.954,0.737,0.01544,7.7225399999999995,1.89654588,2349.0
pi_Men_c,5998,1.091,1.19,6.268,0.06876,3.62292,2.1453834599999997,1170.0
AU_Mic_b,3700,0.5,0.75,8.463,0.0831,38.136,5.12358819,570.0
AU_Mic_c,3700,0.5,0.75,18.859,0.1417,31.78,3.1384920000000003,436.0
CoRoT-01,5950,0.95,1.131,1.509,0.02536,327.334,17.385003899999997,1915.0
CoRoT-02,5598,0.997,0.901,1.743,0.02835,1134.546,16.364994,1521.0
CoRoT-03,6558,1.44,1.66,4.257,0.05783,7086.9400000000005,12.105612,1695.0
CoRoT-04,6190,1.194,1.148,9.202,0.0912,232.3118,13.002324,1058.0
CoRoT-05,6100,0.99,1.115,4.038,0.0495,145.8702,14.0783784,1397.0
CoRoT-06,6090,1.054,1.043,8.887,0.0855,940.688,13.2825465,1025.0
CoRoT-07,5313,0.884,0.8389,0.854,0.01702,6.06998,1.5804548999999999,1756.0
CoRoT-08,5080,0.89,0.802,6.212,0.0636,69.2804,6.9383091,870.0
CoRoT-09,5613,0.96,0.96,95.273,0.4021,266.952,11.9486874,420.0
CoRoT-10,5075,0.904,0.743,13.241,0.106,883.4839999999999,10.547574899999999,647.0
CoRoT-11,6343,1.26,1.374,2.994,0.044,743.6519999999999,15.9838914,1735.0
CoRoT-12,5675,1.0,1.049,2.828,0.0392,277.43940000000003,15.0647616,1417.0
CoRoT-13,5945,1.086,1.274,4.035,0.051,416.95360000000005,14.0335428,1432.0
CoRoT-14,6035,1.125,1.19,1.512,0.02687,2437.526,11.4106602,1936.0
CoRoT-15,6340,1.29,1.4,3.06,0.0458,20339.2,11.713300499999999,1670.0
CoRoT-17,5740,1.043,1.62,3.768,0.0481,781.788,11.287362299999998,1610.0
CoRoT-18,5440,0.88,0.883,1.9,0.0288,1048.74,12.845399399999998,1487.0
CoRoT-19,6090,1.181,1.576,3.897,0.0512,346.40200000000004,13.338591,1630.0
CoRoT-20,5880,1.1,1.16,9.243,0.0891,1315.692,11.2089,1024.0
CoRoT-23,5900,1.122,1.74,3.631,0.04809,972.4680000000001,13.226502,1710.0
CoRoT-24c,4950,0.91,0.86,11.759,0.098,27.9664,4.931916,850.0
CoRoT-25,6040,1.09,1.19,4.861,0.0578,117.586,12.105612,1330.0
CoRoT-26,5590,1.09,1.79,4.205,0.0526,165.256,14.123213999999999,1600.0
CoRoT-27,5900,1.05,1.08,3.575,0.0476,3301.9420000000005,11.287362299999998,1500.0
CoRoT-32,5970,1.08,0.79,6.718,0.071,47.67,6.389073,938.0
CoRoT-34,7820,1.66,1.85,2.119,0.03874,22690.920000000002,12.217701,2425.0
CoRoT-35,6390,1.01,1.65,3.227,0.0429,349.58000000000004,18.830952,1747.0
